"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Suclg2",104.62994434382,-0.927452496579355,0.0848113608699115,-10.9354747650133,7.79966466439898e-28,1.02397641353197e-25,-0.927452496579355,"Suclg2",-0.912732435406749
"St3gal3",107.58278077098,-1.1776737755061,0.107710033375324,-10.9337425549058,7.95004548989086e-28,1.03615592884911e-25,-1.1776737755061,"St3gal3",-1.15062610387794
"Mmut",810.270472262203,-1.19130918344315,0.108973514094316,-10.9320984401042,8.09543718173996e-28,1.04751462698399e-25,-1.19130918344315,"Mmut",-1.16348584923975
"Cd44",383.506208049883,1.26681180330739,0.115899411534756,10.930269502943,8.26027321929628e-28,1.06120910087331e-25,1.26681180330739,"Cd44",1.23457780561043
"Lppos",103.385815635979,-1.05529127942471,0.0965821742735546,-10.9263566218312,8.62419085463059e-28,1.10010423199564e-25,-1.05529127942471,"Lppos",-1.0346854241015
"Prtn3",124.041192230552,-3.29311230655499,0.301724354886461,-10.9143072251963,9.84772213142918e-28,1.24614392175304e-25,-3.29311230655499,"Prtn3",-3.2024152311718
"Dhtkd1",33.6368925858654,-2.23354814968492,0.204654394838645,-10.9137560981572,9.90762708832898e-28,1.24614392175304e-25,-2.23354814968492,"Dhtkd1",-2.15158328580617
"Blcap",428.872972594128,-1.25525497711148,0.1152544863493,-10.8911593541547,1.27012962744729e-27,1.5864271860602e-25,-1.25525497711148,"Blcap",-1.22348699464249
"Cnrip1",128.951459165917,0.954302097361604,0.0876748137833245,10.8845637211163,1.36550902049951e-27,1.69379622363477e-25,0.954302097361604,"Cnrip1",0.938289227061545
"Sox6os",122.217584140994,-2.41491167769137,0.221934981921149,-10.8811673436383,1.41736088639884e-27,1.74607211662805e-25,-2.41491167769137,"Sox6os",-2.3319214474214
"Fnta",440.693707013477,-0.599278686878376,0.0551037773766556,-10.8754556476605,1.50899935546687e-27,1.84631717057327e-25,-0.599278686878376,"Fnta",-0.594454425087826
"Gm15417",274.863459199005,-1.57250969888849,0.144644728382291,-10.871531347706,1.57534240095785e-27,1.91446678538026e-25,-1.57250969888849,"Gm15417",-1.52019795362084
"Art3",523.111950965249,-1.76514598627178,0.162775752225618,-10.8440351965025,2.12869910329349e-27,2.56958268938502e-25,-1.76514598627178,"Art3",-1.70018116385267
"Stard9",163.219110206107,0.937468005224947,0.0865088724232441,10.8366688752847,2.30719611641093e-27,2.76648195665113e-25,0.937468005224947,"Stard9",0.922052272116741
"Sugct",72.7640521649592,-1.82843831155409,0.168815530079933,-10.8309840373592,2.4550268059272e-27,2.92424583651699e-25,-1.82843831155409,"Sugct",-1.75960215727743
"Lgals12",369.543933722348,-2.26493113916518,0.209380515219375,-10.817296618036,2.85061863676776e-27,3.37310702637532e-25,-2.26493113916518,"Lgals12",-2.18109882374281
"Gm10419",41.1410637630224,-2.63323496016967,0.243482077745488,-10.8149026185089,2.9260327012747e-27,3.4397139977207e-25,-2.63323496016967,"Gm10419",-2.55075955128732
"Smim27",218.897517039162,-0.855626477728165,0.0793090643364701,-10.7885080335604,3.90070524743013e-27,4.55571977794015e-25,-0.855626477728165,"Smim27",-0.843420631832953
"Sncg",1302.83417566942,-1.88244924835654,0.174612055572041,-10.7807518913257,4.24402372814622e-27,4.92471037254438e-25,-1.88244924835654,"Sncg",-1.81000115544954
"Prcp",194.12764053682,0.824394549377599,0.0764749075162194,10.7799352251947,4.28187182974904e-27,4.93677863652989e-25,0.824394549377599,"Prcp",0.81332656541288
"Crtac1",69.33594032789,-4.14560031132343,0.385837126042416,-10.7444308271871,6.29489781116219e-27,7.21146700837982e-25,-4.14560031132343,"Crtac1",-3.99291465317289
