"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Zcrb1",581.519872536342,-0.514651337359409,0.0532663356264571,-9.66184985895264,4.37884406253849e-22,2.74417732783336e-20,-0.514651337359409,"Zcrb1"
"Ndufa9",449.282883039913,-0.907912050792264,0.0940340255946625,-9.65514392317793,4.6750235302756e-22,2.91889214031244e-20,-0.907912050792264,"Ndufa9"
"Olfml2b",231.82032149379,0.884386409694676,0.0916005632189499,9.65481410393467,4.69009134076668e-22,2.91889214031244e-20,0.884386409694676,"Olfml2b"
"Isca2",238.418714625371,-0.827193286744101,0.0857443820500797,-9.64720098234508,5.05157006605276e-22,3.13301859338017e-20,-0.827193286744101,"Isca2"
"Gm6936",20.8990244812423,-3.14882390083023,0.326540842278156,-9.64297108705312,5.26418532356489e-22,3.25366450960956e-20,-3.14882390083023,"Gm6936"
"Gm38882",86.9248996961908,-1.53295292056584,0.159129215099317,-9.63338453978473,5.77938655307763e-22,3.55986460765939e-20,-1.53295292056584,"Gm38882"
"Mkrn2",154.240347080466,-0.642340484221206,0.0668407687408941,-9.61001042210057,7.25416433301383e-22,4.45301705438863e-20,-0.642340484221206,"Mkrn2"
"Rab7b",363.451015292567,0.858807723067319,0.089405393113496,9.60577089546603,7.55901414635356e-22,4.62436831416038e-20,0.858807723067319,"Rab7b"
"Spred1",368.939753845125,0.621319700553505,0.0647015147856939,9.60286173533119,7.77550133076618e-22,4.74068362492069e-20,0.621319700553505,"Spred1"
"Mrpl1",143.96209790605,-0.697544814692235,0.072643942617442,-9.60224334691813,7.82230380056995e-22,4.7531066269274e-20,-0.697544814692235,"Mrpl1"
"Pparg",421.906551428615,-1.5357462032698,0.160242380912624,-9.58389531235935,9.34523178856304e-22,5.6593716817877e-20,-1.5357462032698,"Pparg"
"Ms4a7",176.979973588103,1.24805499046653,0.130422170564308,9.56934687612139,1.07583135831923e-21,6.49325597675491e-20,1.24805499046653,"Ms4a7"
"Matn2",245.930319480476,-1.05384623229399,0.110192150725327,-9.56371416073803,1.13604830461604e-21,6.83376749392113e-20,-1.05384623229399,"Matn2"
"Myo1c",483.997328375955,-0.84149604243656,0.0880383490871777,-9.55828966764575,1.19718743555896e-21,7.1775377386545e-20,-0.84149604243656,"Myo1c"
"A430018G15Rik",78.3123405485654,-1.62235407810371,0.169872001471099,-9.55045012747277,1.29133985021435e-21,7.71629187573268e-20,-1.62235407810371,"A430018G15Rik"
