"","baseMean","log2FoldChange","lfcSE","stat","pvalue","logFC","P.Value","adj.P.Val","gene_name","log2FoldChange_shrunk"
"Ttll5",112.706942895719,-0.0371131684733025,0.127992581887619,-0.289963433239349,0.771844212388068,-0.0371131684733025,0.771844212388068,0.946103762017023,"Ttll5",-0.00820658429429772
"S100b",48.2917026028255,0.0547780618211239,0.189023444272484,0.289795067653934,0.771973021476706,0.0547780618211239,0.771973021476706,0.946154575321064,"S100b",0.00633635872360051
"Gm20544",41.4183428007075,-0.0597949055394805,0.206399971519758,-0.289704039681791,0.772042665583893,-0.0597949055394805,0.772042665583893,0.946154575321064,"Gm20544",-0.00587729011977031
"Cabin1",221.852168151376,0.0278779872686199,0.0962938214550619,0.289509615958381,0.772191422346625,0.0278779872686199,0.772191422346625,0.946194075670248,"Cabin1",0.00937483834226783
"Acsl1",4568.90382351537,0.0130613530010246,0.0451236835331221,0.289456710497431,0.772231902627415,0.0130613530010246,0.772231902627415,0.946194075670248,"Acsl1",0.00950609673491855
"Abhd8",113.628435811069,0.0367941698481547,0.127312408893449,0.289006941019777,0.772576065941424,0.0367941698481547,0.772576065941424,0.946395721626647,"Abhd8",0.00826317092463835
"Gfra4",8.00103692018777,-0.138965605340708,0.48086391768231,-0.288991542577163,0.772587849612215,-0.138965605340708,0.772587849612215,NA,"Gfra4",-0.00272691862948396
"Cd59a",521.4598930413,-0.0191930771598603,0.0664265190280676,-0.288936970364961,0.772629611464399,-0.0191930771598603,0.772629611464399,0.946395721626647,"Cd59a",-0.00982199188960254
"Dnajc19",228.987085985021,-0.0272674997087017,0.0943728259189373,-0.288933805289707,0.772632033585514,-0.0272674997087017,0.772632033585514,0.946395721626647,"Dnajc19",-0.00908107521394303
"Mcrs1",45.4905782930391,-0.058567210260862,0.202918081918509,-0.288624895855177,0.772868441798979,-0.058567210260862,0.772868441798979,0.94658909958369,"Mcrs1",-0.00592656581289247
"mt-Nd6",452.698134519284,0.0243711681726832,0.0845547508082663,0.288229436426895,0.77317111743529,0.0243711681726832,0.77317111743529,0.946863592607961,"mt-Nd6",0.00896235828528456
"Gm38883",10.5821596281722,0.115208468532703,0.399932952674463,0.288069457048416,0.773293571810945,0.115208468532703,0.773293571810945,NA,"Gm38883",0.00327213818763104
"Zfp141",38.4155332723101,-0.0615758020677057,0.213755929278306,-0.288065937050734,0.773296266216156,-0.0615758020677057,0.773296266216156,0.946918686933482,"Zfp141",-0.0056627270917417
"Asb13",108.119029723487,-0.0388093248810131,0.134790944425567,-0.287922345573029,0.773406181579035,-0.0388093248810131,0.773406181579035,0.946918686933482,"Asb13",-0.00807265070397407
"H3f3b",1212.1030280923,0.0160446586361947,0.0557371805631879,0.287862760083555,0.773451793981593,0.0160446586361947,0.773451793981593,0.946918686933482,"H3f3b",0.00965786479508979
"Gm72039",57.1126350725056,0.0510380131900885,0.177433820297409,0.28764534914787,0.7736182276302,0.0510380131900885,0.7736182276302,0.946934702059386,"Gm72039",0.00656106572125051
"Eif3i",471.494759842077,0.0211259846323579,0.0734936744616541,0.287453101060833,0.773765407144206,0.0211259846323579,0.773765407144206,0.946934702059386,"Eif3i",0.00978306872446052
"1810030O07Rik",260.950224342278,-0.0249501537353035,0.0867992767628937,-0.287446562526769,0.773770412997746,-0.0249501537353035,0.773770412997746,0.946934702059386,"1810030O07Rik",-0.00936202805255513
"Plin1",2424.70476557914,0.0122345622530006,0.0425755546773467,0.287361194603774,0.773835770914305,0.0122345622530006,0.773835770914305,0.946934702059386,"Plin1",0.00883546145660158
"Apool",186.954132199298,0.0288569707026608,0.100441365625478,0.287301656274383,0.773881354572063,0.0288569707026608,0.773881354572063,0.946934702059386,"Apool",0.00901815845719246
"Sec24a",137.305025308914,-0.0337138572749891,0.117375845048036,-0.2872299429341,0.77393626068091,-0.0337138572749891,0.77393626068091,0.946934702059386,"Sec24a",-0.00944891856960112
"Car5b",942.281298688278,-0.0154442816119302,0.0538382565524746,-0.28686444548733,0.774216115199025,-0.0154442816119302,0.774216115199025,0.947031030743321,"Car5b",-0.00717866712163028
"Rps2-ps13",16.0131330062976,0.0936699517958923,0.326562176422908,0.286836500239963,0.774237513557131,0.0936699517958923,0.774237513557131,0.947031030743321,"Rps2-ps13",0.00392171754590253
"Ythdf1",368.999675610485,-0.0214816413620452,0.074896088331971,-0.286819269743828,0.774250707454134,-0.0214816413620452,0.774250707454134,0.947031030743321,"Ythdf1",-0.00969797491271044
"Tmem198",17.9375030391055,0.0890104139227335,0.310495216215076,0.286672416431296,0.774363159994803,0.0890104139227335,0.774363159994803,0.947072467520787,"Tmem198",0.0040954359907292
"Tmem67",20.2015018645935,0.0857110158142943,0.299131124303073,0.286533258663695,0.774469724060653,0.0857110158142943,0.774469724060653,0.947101274998224,"Tmem67",0.00425881886105533
"Ptprk",117.090005006835,0.0374777384433356,0.130878786610105,0.286354568330342,0.774606567557597,0.0374777384433356,0.774606567557597,0.947101274998224,"Ptprk",0.0080370797067771
"Gm46336",16.192664125225,0.0951791853678513,0.332414552438921,0.286326770803273,0.774627855912823,0.0951791853678513,0.774627855912823,0.947101274998224,"Gm46336",0.00385975947690261
"Atg4a",76.1727501758226,-0.0444186345442097,0.155184445265116,-0.286231229349858,0.774701026317721,-0.0444186345442097,0.774701026317721,0.947101274998224,"Atg4a",-0.00719832854136601
"Coq10a",85.1721136672338,-0.0417638642513865,0.146014727308993,-0.286025012826321,0.774858964024881,-0.0417638642513865,0.774858964024881,0.947194970593838,"Coq10a",-0.00747240645012755
